,Species - Latin Name,Common Name,Address,Comments,Planting Season,Planting Year,Tree Care-taker,Nursery,Replacement tree,City,,,
166,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Ferry side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
167,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Ferry side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
168,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Ferry side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
169,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Ferry side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
170,Syringa reticulata 'Ivory Silk',Ivory Silk tree lilac,483 Ferry Street,lawn on Ferry side,Fall,2007,Trinity Reformed Church,NJTF donated,,Newark,,,
171,Prunus serrulata'Kwanzan',Kwanzan cherry tree,99 Davenport Ave,,Fall,2007,Shiloh Baptist Church,NJTF donated,,Newark,,,
172,Ulmus x 'Patriot',Patriot Elm,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
173,Quercus paulstris,Pin Oaks,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
174,Fraxinus pennsylvanica 'Summit',Summit Ash,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
175,Ulmus x 'Patriot',Patriot Elm,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
176,Quercus paulstris,Pin Oaks,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
177,Quercus paulstris,Pin Oaks,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
178,Fraxinus pennsylvanica 'Summit',Summit Ash,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
179,Fraxinus pennsylvanica 'Summit',Summit Ash,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
180,Ulmus x 'Patriot',Patriot Elm,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
181,Ulmus x 'Patriot',Patriot Elm,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
182,Quercus paulstris,Pin Oaks,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
183,Fraxinus pennsylvanica 'Summit',Summit Ash,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
184,,,Ivy Hill Park,triangle in path,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
185,cornus florida rubra,Pink flowering dogwood,Ivy Hill Park,triangle in path,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
186,Fraxinus pennsylvanica 'Summit',Summit Ash,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
187,Ulmus x 'Patriot',Patriot Elm,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
188,Fraxinus pennsylvanica 'Summit',Summit Ash,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
189,Quercus paulstris,Pin Oaks,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
190,Ulmus x 'Patriot',Patriot Elm,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
191,Fraxinus pennsylvanica 'Summit',Summit Ash,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
192,Ulmus x 'Patriot',Patriot Elm,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
193,cornus florida rubra,Pink flowering dogwood,Ivy Hill Park,triangle in path,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
194,Fraxinus pennsylvanica 'Summit',Summit Ash,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
195,Ulmus x 'Patriot',Patriot Elm,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
196,Quercus paulstris,Pin Oaks,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
197,cornus florida rubra,Pink flowering dogwood,Ivy Hill Park,triangle in path by playground,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
198,cornus florida rubra,Pink flowering dogwood,Ivy Hill Park,triangle in path by playground,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
199,Quercus paulstris,Pin Oaks,Ivy Hill Park,see map in file,Fall,2007,Essex County Parks,Fernbrook Farms,,Newark,,,
